"AuthorANorveyanFellow","AuthorAccipiter","AuthorAddison48","AuthorBennedict","AuthorDani","AuthorEasyrider","AuthorFreedom","AuthorHdreams","AuthorJPSartre12","AuthorJWilliam","AuthorMatthew S","AuthorOhioprof","AuthorShooterandproud","AuthorSigma","AuthorSteeeeve","AuthorXcaliber","AuthorXenamnes","Authordaewoo","Authorgansao","Authorgayhumanist","Authorjazyjason","Authorjitobear","Authorjyoshu","Authorsmiley","Authorsnakespit","Length:100","Length:200","Length:300","Length:50","Turn:11-12","Turn:13-14","Turn:15-16","Turn:17-18","Turn:19-20","Turn:21-22","Turn:23-24","Turn:25-26","Turn:27-28","Turn:29-30","Turn:7-8","Turn:9-10","subtopic"
1,1,0,0,3,17,2,7,0,0,1,0,0,0,1,2,1,4,0,0,0,0,0,2,0,7,7,4,3,2,2,1,0,0,0,0,0,0,0,4,1,"obama-supports-gay-marriage"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"gay-marriage-media-gives-obama-pass"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gay-marriage"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"wash-governor-signs-gay-marriage-bill-into-law"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"court-calif-ban-gay-marriage-unconstitutional"
0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,"gay-marriage-opponents-win-california-high-court-victory"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"end-gays-gay-marriage-decline-homosexual-population"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"i-now-support-full-marriage-equality"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gallup-poll-majority-americans-support-gay-marriage"
0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,1,0,0,1,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,"gay-marriage-not-about-equal-rights-about-love"
0,0,6,0,0,3,0,0,2,3,3,0,1,10,0,0,0,0,11,7,6,2,0,0,0,8,5,6,8,3,0,0,0,0,0,0,1,0,1,5,3,"gay-marriage-opponents-keep-streak-alive"
0,0,0,2,0,5,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,3,0,1,2,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,"gay-marriage"
